pair,dataset,rate,degree_bin,n,baseline_hits1,cdmr_hits1,delta_hits1,degree_mean,baseline_n,baseline_img_mean,baseline_img_std,baseline_img_min,baseline_img_median,baseline_img_max,baseline_attr_mean,baseline_attr_std,baseline_attr_min,baseline_attr_median,baseline_attr_max,baseline_rel_mean,baseline_rel_std,baseline_rel_min,baseline_rel_median,baseline_rel_max,baseline_graph_mean,baseline_graph_std,baseline_graph_min,baseline_graph_median,baseline_graph_max,baseline_entropy_mean,baseline_entropy_std,baseline_entropy_median,cdmr_n,cdmr_img_mean,cdmr_img_std,cdmr_img_min,cdmr_img_median,cdmr_img_max,cdmr_attr_mean,cdmr_attr_std,cdmr_attr_min,cdmr_attr_median,cdmr_attr_max,cdmr_rel_mean,cdmr_rel_std,cdmr_rel_min,cdmr_rel_median,cdmr_rel_max,cdmr_graph_mean,cdmr_graph_std,cdmr_graph_min,cdmr_graph_median,cdmr_graph_max,cdmr_entropy_mean,cdmr_entropy_std,cdmr_entropy_median,delta_n,delta_img_mean,delta_img_std,delta_img_min,delta_img_median,delta_img_max,delta_attr_mean,delta_attr_std,delta_attr_min,delta_attr_median,delta_attr_max,delta_rel_mean,delta_rel_std,delta_rel_min,delta_rel_median,delta_rel_max,delta_graph_mean,delta_graph_std,delta_graph_min,delta_graph_median,delta_graph_max,delta_entropy_mean,delta_entropy_std,delta_entropy_median
FBDB15K_r02,FBDB15K,0.2,low_degree,3518,0.42268334280841385,0.4522455940875497,0.029562251279135865,18.649801023308697,3518,0.2633056780995802,0.01244292977643617,0.12711523473262787,0.26325514912605286,0.300876259803772,0.25998558974049185,0.012299925193802127,0.12683027982711792,0.25991325080394745,0.29468801617622375,0.21365957223027182,0.035244468262279886,0.14615456759929657,0.2123550847172737,0.6189490556716919,0.26304916081491553,0.012358956437863862,0.12710542976856232,0.2628978192806244,0.2975609302520752,1.3791360923247487,0.013025553423783994,1.3819701949336674,3518,0.20289705110255327,0.03715131495146464,0.11191911995410919,0.19612421840429306,0.29397931694984436,0.25037332372596954,0.03389080079642016,0.12637165188789368,0.23342325538396835,0.3324819803237915,0.19953474378707803,0.04374034037946919,0.11304924637079239,0.2050875872373581,0.6189490556716919,0.34719488096294787,0.047813962276378984,0.12710542976856232,0.36870452761650085,0.4570499658584595,1.3457613480247623,0.020824531369848867,1.343570276883561,3518,-0.060408626997026954,0.03363011801367528,-0.1160232424736023,-0.06935454159975052,0.00040443241596221924,-0.009612266014522284,0.027610369107371083,-0.03715240955352783,-0.02833542227745056,0.04899129271507263,-0.014124828443193788,0.0205053905847289,-0.08838534355163574,-0.0004027709364891052,0.0007052570581436157,0.08414572014803233,0.04756148625916138,-5.960464477539063e-08,0.11387775838375092,0.15948903560638428,0.21072767861985178,0.11547390091217975,0.24971649032069965
FBDB15K_r02,FBDB15K,0.2,mid_degree,3295,0.5887708649468892,0.6628224582701062,0.07405159332321698,52.66858877086495,3295,0.2753977554928008,0.01737930035829811,0.09625519812107086,0.2751537561416626,0.32676583528518677,0.2659606994713384,0.018636674832596442,0.09625518321990967,0.27129635214805603,0.3045600950717926,0.18332600760894047,0.04116242985819206,0.14608117938041687,0.1737821400165558,0.7112343311309814,0.27531553677570114,0.017104012216811515,0.09625519812107086,0.2754693031311035,0.3196474611759186,1.3679897811376125,0.018779309948200002,1.3689197113228833,3295,0.20348197760142397,0.026889499147527272,0.07357317209243774,0.20143191516399384,0.30731531977653503,0.2799814456579175,0.04319565187114284,0.09625519812107086,0.2788706421852112,0.34823593497276306,0.14951063292567393,0.048434014335432755,0.10324186086654663,0.13432227075099945,0.7112343311309814,0.36702594416320594,0.0518588931264992,0.09625519812107086,0.3508460223674774,0.48288190364837646,1.3173181507754783,0.03244016103881117,1.320724809340148,3295,-0.07191577789137685,0.028846815404587545,-0.125442773103714,-0.07148037850856781,0.000400543212890625,0.014020746186579124,0.03165583314678221,-0.03545086085796356,0.006281554698944092,0.04984138906002045,-0.03381537468326652,0.019085476785083832,-0.09585440158843994,-0.04371235519647598,0.0014112889766693115,0.09171040738750481,0.04289019725916454,-2.9802322387695312e-08,0.0736629068851471,0.1636994481086731,0.2761345876104572,0.09377544494373974,0.32114064092177524
FBDB15K_r02,FBDB15K,0.2,high_degree,3464,0.5773672055427251,0.6463625866050808,0.0689953810623557,165.56928406466514,3464,0.2833187413287906,0.02547761442915854,0.09625513106584549,0.28182241320610046,0.3768009841442108,0.2612230629029987,0.027072984369070754,0.09625513106584549,0.2696012705564499,0.31979846954345703,0.17195857414764978,0.05758571122463161,0.1425584852695465,0.1544182077050209,0.7112345695495605,0.2834996211194104,0.02506661969612637,0.09625513106584549,0.2816801369190216,0.38705119490623474,1.357309644094478,0.030618134585519097,1.357303296937832,3464,0.2059106910192595,0.03328615175011759,0.06432387977838516,0.20134717226028442,0.3607940673828125,0.27597999470372947,0.046584038101576936,0.08550676703453064,0.2661643475294113,0.3658086359500885,0.13887976358190832,0.06522286320404096,0.100504569709301,0.11510617658495903,0.7111355662345886,0.37922954958740956,0.07030175917407809,0.09628831595182419,0.35393834114074707,0.5193641781806946,1.2987042261244963,0.045662983007921494,1.3043253307635556,3464,-0.07740805030953113,0.03815270993245994,-0.1301625370979309,-0.0744895413517952,0.0004214048385620117,0.014756931800730785,0.026186976734789494,-0.04110381007194519,0.003925755620002747,0.049095943570137024,-0.033078810565741454,0.01843516488073229,-0.09727495908737183,-0.04201944172382355,0.0013083219528198242,0.09572992846799916,0.05410941754794863,-2.9802322387695312e-08,0.07330796122550964,0.16560786962509155,0.2653135953105151,0.11097807014816227,0.31486068768438824
FBDB15K_r05,FBDB15K,0.5,low_degree,2204,0.5948275862068966,0.5961887477313974,0.0013611615245008313,18.81442831215971,2204,0.2845303131548008,0.01867306851205758,0.13058912754058838,0.2798941731452942,0.3505789339542389,0.24390193191906284,0.03199642364328984,0.15207844972610474,0.2500966042280197,0.3001713454723358,0.17980424528383732,0.023526226232991353,0.14045041799545288,0.17548149079084396,0.5546762347221375,0.29176350883774443,0.021207691189584755,0.1310560554265976,0.2865094095468521,0.39857056736946106,1.3648323405880018,0.014224436336107295,1.367049757383318,2204,0.2192205513900183,0.04996422393597197,0.1001167744398117,0.19902827590703964,0.3505789637565613,0.23348376901985946,0.0467195752446705,0.13510699570178986,0.220706507563591,0.34430086612701416,0.16650849594624745,0.03271647858446529,0.1043945923447609,0.17066892236471176,0.5537284016609192,0.3807871847290093,0.04446533323284023,0.13594262301921844,0.3984108865261078,0.533579409122467,1.3231454154027942,0.021423577574331023,1.321269253329746,2204,-0.06530976176478252,0.03618331223891267,-0.12941662967205048,-0.07223713397979736,0.0007012784481048584,-0.010418162899203396,0.027803938100155967,-0.03705121576786041,-0.029188670217990875,0.04687589406967163,-0.013295749337589893,0.017705329379851992,-0.08164772391319275,-0.0018210187554359436,0.0019192546606063843,0.08902367589126481,0.05103950794127197,-5.960464477539063e-08,0.12192201614379883,0.17288866639137268,0.2159103875575665,0.11604442327399078,0.25907727829131616
FBDB15K_r05,FBDB15K,0.5,mid_degree,2060,0.7757281553398059,0.804368932038835,0.02864077669902909,52.59417475728155,2060,0.28842824977433795,0.024394133234440642,0.098761647939682,0.2798786908388138,0.3607161045074463,0.253211444070183,0.03836811897478907,0.09837368875741959,0.26044970750808716,0.3087032735347748,0.16619564078531218,0.03133433372883447,0.13943029940128326,0.15860862284898758,0.7040000557899475,0.29216466455277307,0.02681479492461118,0.09886454790830612,0.2813846617937088,0.4185629189014435,1.356507495519661,0.020270793054671422,1.3602178834141232,2060,0.21306182040823896,0.03815858386640937,0.09606979042291641,0.20190412551164627,0.3607161343097687,0.26589977028372797,0.06237108159171267,0.09837368875741959,0.2595496326684952,0.3532407581806183,0.1340565617982913,0.0366621096844378,0.0912325456738472,0.12124569714069366,0.7040000557899475,0.3869818488588032,0.05946232223449995,0.09886454045772552,0.35313649475574493,0.5901462435722351,1.2994726412864277,0.038145638727360036,1.3069713462528325,2060,-0.07536642936609902,0.03195446750324954,-0.1348298043012619,-0.07267393916845322,0.0006956309080123901,0.012688326213545013,0.03161638604188018,-0.03532429039478302,0.0031355321407318115,0.04843413829803467,-0.03213907898702089,0.017965023433697845,-0.09405690431594849,-0.04213576763868332,0.0016890168190002441,0.09481718430603013,0.047209810613756044,-5.960464477539063e-08,0.07361859083175659,0.17412957549095154,0.27447151306262163,0.09388529775868938,0.3151441084571047
FBDB15K_r05,FBDB15K,0.5,high_degree,2159,0.7688744789254285,0.8036127836961556,0.034738304770727146,175.16489115331171,2159,0.29600973814836307,0.031442526557548006,0.09625513106584549,0.2887212932109833,0.40674129128456116,0.24044142758034623,0.045697014804307025,0.09625513106584549,0.24618005752563477,0.31755053997039795,0.16165837084407772,0.04455347368059727,0.13724355399608612,0.14912740886211395,0.7112345695495605,0.3018904628647097,0.03495182249272265,0.09625513106584549,0.2923634946346283,0.4382449686527252,1.3465593189737475,0.028748003738998933,1.3546518172106514,2159,0.21633758137779913,0.0448664150393213,0.08143363893032074,0.20153814554214478,0.40674129128456116,0.2541714426701187,0.06634634072832248,0.09266597032546997,0.22190169990062714,0.36217132210731506,0.1290822073941487,0.04906612909272608,0.09761089831590652,0.11244740337133408,0.7112345695495605,0.4004087686614617,0.07600550534602084,0.09625513106584549,0.35555633902549744,0.5405585765838623,1.2835254544551014,0.05022148141392283,1.3009709178508726,2159,-0.07967215677056394,0.041767828964345506,-0.13645943999290466,-0.07390156388282776,0.0006852149963378906,0.013730015089772486,0.02668446333842171,-0.039842233061790466,0.001622721552848816,0.04816281795501709,-0.032576163449929016,0.018355756237452874,-0.08858534693717957,-0.04157724976539612,0.003766179084777832,0.098518305796752,0.05844268240437435,-4.470348358154297e-08,0.07359856367111206,0.17423370480537415,0.2629959898832027,0.11164966521181605,0.31171731739849146
FBDB15K_r08,FBDB15K,0.8,low_degree,881,0.7446083995459705,0.7480136208853575,0.0034052213393870323,18.947786606129398,881,0.2877760726226986,0.015897055617637747,0.15790413320064545,0.28713685274124146,0.34642890095710754,0.23974260836670536,0.027282276348766257,0.18757623434066772,0.23698872327804565,0.3078884184360504,0.1776469494982556,0.027642594455960966,0.14253750443458557,0.1717415750026703,0.49118080735206604,0.2948343693262873,0.017931045011462997,0.157500758767128,0.2940071225166321,0.3595636188983917,1.3635316628530567,0.010452496417752508,1.3642732752744502,881,0.21744430048241112,0.04337844377463087,0.14524970948696136,0.19704605638980865,0.34642890095710754,0.22824758950887283,0.048158948494552274,0.16640916466712952,0.21149052679538727,0.34939271211624146,0.1627846207304791,0.03504556580817148,0.10647919774055481,0.16515739262104034,0.49118080735206604,0.39152348966725703,0.057616418406506366,0.157500758767128,0.42042866349220276,0.5147687196731567,1.3148903708382507,0.02947514131533622,1.3075910255103813,881,-0.07033177214028752,0.038274540798703086,-0.1259799748659134,-0.07893894612789154,2.9802322387695312e-08,-0.011495018857832528,0.027573947135820467,-0.03555972874164581,-0.030674710869789124,0.04838387668132782,-0.01486232876777649,0.017612178965766095,-0.08762377500534058,-0.00416170060634613,2.9802322387695312e-08,0.09668912034096973,0.05452262104697003,-2.9802322387695312e-08,0.1325947344303131,0.17835500836372375,0.22465175662591658,0.11747790336512488,0.27048206808110875
FBDB15K_r08,FBDB15K,0.8,mid_degree,820,0.8512195121951219,0.874390243902439,0.023170731707317094,53.05975609756098,820,0.2861407192741952,0.026347220866539487,0.09636935591697693,0.2795835882425308,0.3453284800052643,0.2475063293808844,0.04044629799680512,0.09637285023927689,0.25117725133895874,0.31339961290359497,0.17457656269756758,0.048806077934480094,0.1425016224384308,0.15734289586544037,0.7108868956565857,0.29177638983762844,0.029931786209338247,0.0963708907365799,0.28146128356456757,0.3815650939941406,1.3563900090225853,0.030720498434432177,1.3579111121149217,820,0.2087280262988515,0.03602616543581953,0.06454914063215256,0.19892682135105133,0.3453284800052643,0.25905774081262145,0.06578858900169114,0.08596773445606232,0.2473786473274231,0.3552202880382538,0.14016855931500108,0.05207890357971783,0.09697821736335754,0.12403758242726326,0.705975353717804,0.39204567192894657,0.06655876332394185,0.14350779354572296,0.35985858738422394,0.561484158039093,1.2952741572612947,0.04426492587657174,1.3004450529726408,820,-0.07741269297534373,0.032769521996170635,-0.13560809195041656,-0.0764598548412323,2.9802322387695312e-08,0.011551411431737062,0.030456718077017896,-0.035677582025527954,0.002234719693660736,0.046986937522888184,-0.0344080033825665,0.01896832186824772,-0.08191001415252686,-0.04215497151017189,2.9802322387695312e-08,0.10026928209131811,0.04954605418085254,-5.960464477539063e-08,0.07998538017272949,0.1811636984348297,0.2778719800830551,0.09623286817712629,0.3122490156104075
FBDB15K_r08,FBDB15K,0.8,high_degree,869,0.8331415420023015,0.8550057537399309,0.021864211737629424,190.1012658227848,869,0.29017002018054966,0.032833278340351504,0.09625513106584549,0.2808926999568939,0.4241185784339905,0.23675144504931497,0.044616356075307895,0.09625513106584549,0.22865711152553558,0.31480318307876587,0.17473902921133402,0.05889110923739314,0.13886862993240356,0.15238142013549805,0.7112345695495605,0.2983395036897259,0.03721714685307755,0.09625513106584549,0.28467682003974915,0.42740488052368164,1.3498333728071785,0.036955760366754686,1.3545195989502377,869,0.2117800971769628,0.044702301781116914,0.06374350935220718,0.19779418408870697,0.42411860823631287,0.2490341353591347,0.0662680232797556,0.08498770743608475,0.20808279514312744,0.35632461309432983,0.14025971680125104,0.06389230908480645,0.09752219915390015,0.11085955053567886,0.7112345695495605,0.39892605057691405,0.0795054719575676,0.09625513106584549,0.3628178834915161,0.5567602515220642,1.2855845995882447,0.05755920680383245,1.2968868302887455,869,-0.07838992300358685,0.04262300141598937,-0.13645489513874054,-0.07685357332229614,5.960464477539063e-08,0.012282690309819747,0.025628018745551314,-0.04049420356750488,0.0,0.04877258837223053,-0.034479312410083,0.020188410168668285,-0.08681607246398926,-0.041705429553985596,2.9802322387695312e-08,0.10058654688718816,0.06077131656089623,-5.960464477539063e-08,0.08001163601875305,0.18207043409347534,0.26081066455425117,0.1167018885475284,0.308903171266589
FBYG15K_r02_lr5e4,FBYG15K,0.2,low_degree,3039,0.5541296479104969,0.5498519249753209,-0.0042777229351760315,20.262915432708127,3039,0.2735148424447544,0.007829616273083827,0.18688201904296875,0.27433687448501587,0.29309991002082825,0.2692434508800899,0.0078124506621047975,0.18500420451164246,0.2697882652282715,0.28645890951156616,0.18402711712694278,0.022086063780947806,0.14671207964420319,0.181573748588562,0.44136843085289,0.2732145896070527,0.007648187259941379,0.1867453157901764,0.27403920888900757,0.2915327548980713,1.3722644199574807,0.0073857081003390725,1.3728374469151605,3039,0.20078024721461404,0.025928316737582585,0.12482065707445145,0.19423362612724304,0.28569501638412476,0.25776784572114125,0.03374683920120527,0.1642065793275833,0.2407802790403366,0.3292944133281708,0.16904735477906616,0.03213427198738517,0.10867705941200256,0.17033420503139496,0.44072824716567993,0.3724045526847984,0.041445506911077526,0.22714115679264069,0.3907836973667145,0.43304571509361267,1.3309896021553227,0.0190288093762748,1.3285326927513885,3039,-0.07273459523014035,0.027003908509648525,-0.11052514612674713,-0.07418063282966614,0.00038151443004608154,-0.011475605158948632,0.03051521360269021,-0.035816460847854614,-0.02988705039024353,0.047189339995384216,-0.014979762347876614,0.019144794409472792,-0.06363222002983093,-0.0005826801061630249,0.00024925172328948975,0.09918996307774569,0.03851116125932959,-2.9802322387695312e-08,0.1193895936012268,0.15037742257118225,0.24656843548038254,0.08724645053333487,0.2558724657903074
