pair,dataset,rate,type,n,baseline_hits1,cdmr_hits1,delta_hits1,rescued_count,harmed_count,degree_mean,baseline_n,baseline_img_mean,baseline_img_std,baseline_img_min,baseline_img_median,baseline_img_max,baseline_attr_mean,baseline_attr_std,baseline_attr_min,baseline_attr_median,baseline_attr_max,baseline_rel_mean,baseline_rel_std,baseline_rel_min,baseline_rel_median,baseline_rel_max,baseline_graph_mean,baseline_graph_std,baseline_graph_min,baseline_graph_median,baseline_graph_max,baseline_entropy_mean,baseline_entropy_std,baseline_entropy_median,cdmr_n,cdmr_img_mean,cdmr_img_std,cdmr_img_min,cdmr_img_median,cdmr_img_max,cdmr_attr_mean,cdmr_attr_std,cdmr_attr_min,cdmr_attr_median,cdmr_attr_max,cdmr_rel_mean,cdmr_rel_std,cdmr_rel_min,cdmr_rel_median,cdmr_rel_max,cdmr_graph_mean,cdmr_graph_std,cdmr_graph_min,cdmr_graph_median,cdmr_graph_max,cdmr_entropy_mean,cdmr_entropy_std,cdmr_entropy_median,delta_n,delta_img_mean,delta_img_std,delta_img_min,delta_img_median,delta_img_max,delta_attr_mean,delta_attr_std,delta_attr_min,delta_attr_median,delta_attr_max,delta_rel_mean,delta_rel_std,delta_rel_min,delta_rel_median,delta_rel_max,delta_graph_mean,delta_graph_std,delta_graph_min,delta_graph_median,delta_graph_max,delta_entropy_mean,delta_entropy_std,delta_entropy_median
FBDB15K_r05,FBDB15K,0.5,Creative Work,1046,0.7619502868068834,0.8288718929254302,0.0669216061185468,97,27,87.77533460803059,1046,0.32032933282749604,0.018333192024025245,0.17921195924282074,0.3250582665205002,0.35790354013442993,0.20385579100986284,0.025631466071685743,0.18266233801841736,0.19380658119916916,0.2830042541027069,0.148740526652017,0.015495875902351127,0.13943029940128326,0.14549480378627777,0.4590240716934204,0.32707434973855776,0.01874423589750732,0.1761927455663681,0.3318108916282654,0.4185629189014435,1.3346025506149048,0.012335902218424918,1.3301428900134153,1046,0.19397083001058144,0.011034445246015104,0.12249854952096939,0.19623978435993195,0.2217532843351364,0.20518021484975832,0.026677022820498747,0.17559723556041718,0.19480078667402267,0.2861204743385315,0.1048232934386051,0.012381781458752768,0.0912325456738472,0.10243287682533264,0.3649671673774719,0.496025663061534,0.025026256893758286,0.3017561733722687,0.503303200006485,0.5901462435722351,1.2241750889377985,0.020710889016323637,1.2191428181700297,1046,-0.1263585028169146,0.007597507977322275,-0.13645943999290466,-0.12888167798519135,-0.05671340972185135,0.0013244238398954927,0.0020846838001595657,-0.012260019779205322,0.0011259838938713074,0.025206923484802246,-0.04391723321341192,0.0032808468974078716,-0.09405690431594849,-0.04332110285758972,-0.039854563772678375,0.16895131332297625,0.006717134366010103,0.12556342780590057,0.17163480818271637,0.17423370480537415,0.30932232583974184,0.006289081979577096,0.30865150136816155
FBDB15K_r05,FBDB15K,0.5,Entity,842,0.4180522565320665,0.4192399049881235,0.001187648456057011,17,16,140.61995249406175,842,0.3150896564338383,0.03130451816288582,0.09625513106584549,0.31933411955833435,0.40674129128456116,0.18538219338358156,0.010460294748049504,0.09625513106584549,0.1851709932088852,0.26301950216293335,0.17294435739304845,0.05989859891783221,0.13724355399608612,0.15746156871318817,0.7112345695495605,0.32658379067469945,0.033962857908657273,0.09625513106584549,0.3299817442893982,0.4382449686527252,1.3339633190731566,0.038188171697952314,1.3344206232641476,842,0.3150896571417319,0.03130451758720261,0.09625513106584549,0.31933411955833435,0.40674129128456116,0.18538219359594965,0.010460294773502719,0.09625513106584549,0.1851709932088852,0.26301950216293335,0.1729443590212038,0.059898598656966326,0.13724355399608612,0.15746157616376877,0.7112345695495605,0.3265837916834479,0.033962857950878673,0.09625513106584549,0.3299817591905594,0.4382449686527252,1.3339633208397723,0.03818817163863938,1.3344206195946902,842,7.078936434131903e-10,1.6755494495744206e-08,-5.960464477539063e-08,0.0,5.960464477539063e-08,2.123680930239571e-10,1.1272247740388608e-08,-4.470348358154297e-08,0.0,4.470348358154297e-08,1.6281553798503378e-09,1.0498446982629625e-08,-2.9802322387695312e-08,0.0,4.470348358154297e-08,1.0087484418637963e-09,1.6787269026903288e-08,-5.960464477539063e-08,0.0,5.960464477539063e-08,2.937496403884211e-07,4.3640023179771785e-07,1.1052408446371418e-10
FBDB15K_r05,FBDB15K,0.5,Event,161,0.422360248447205,0.42857142857142855,0.006211180124223559,2,1,169.472049689441,161,0.29021214892775377,0.020697718537196725,0.1396251618862152,0.2924037277698517,0.3237139880657196,0.24030255836359463,0.012050782797128907,0.2075352519750595,0.2416495978832245,0.2738106846809387,0.16869814471798653,0.04197744515914554,0.14257647097110748,0.1555451601743698,0.5094913244247437,0.3007871480832189,0.02444069423485256,0.13882426917552948,0.30243438482284546,0.38561660051345825,1.356979064245542,0.016335482030350852,1.3563225117219164,161,0.29085372073679977,0.020701721149768062,0.14011365175247192,0.29301026463508606,0.3243848383426666,0.2394041265389934,0.01201958697061754,0.20665715634822845,0.2406834363937378,0.2727808356285095,0.16808057664344028,0.04192412148697475,0.14198285341262817,0.1549588292837143,0.5087317824363708,0.3016615748775672,0.024475642164826696,0.13942696154117584,0.3033478558063507,0.38671058416366577,1.3564388762201416,0.016368808961752267,1.3557321397521767,161,0.0006415718090460167,3.322657296639197e-05,0.00046919286251068115,0.000647127628326416,0.0007012784481048584,-0.0008984318246012149,8.249620600400347e-05,-0.001036316156387329,-0.0009125620126724243,-0.0003316551446914673,-0.0006175680745462454,6.448192782235479e-05,-0.0009201765060424805,-0.0005950182676315308,-0.0005351454019546509,0.0008744267943482962,4.6572516308597846e-05,0.0006026923656463623,0.0008685290813446045,0.0010939836502075195,0.010872093928595686,0.0002935996699577058,0.010884434077046697
FBDB15K_r05,FBDB15K,0.5,Organization,843,0.5622775800711743,0.5907473309608541,0.028469750889679735,55,31,58.704626334519574,843,0.2916210111438309,0.015433042102764598,0.09736757725477219,0.29358214139938354,0.3303399384021759,0.24120032480638365,0.011498203361112508,0.0973011925816536,0.2419237196445465,0.27511635422706604,0.1701822406562622,0.03269035580106322,0.1413712054491043,0.163986474275589,0.7079232931137085,0.2969964231460544,0.01819838690596764,0.09740786254405975,0.29697030782699585,0.40243563055992126,1.3606865076682981,0.01921389457920849,1.3610625036759487,843,0.22204534143810453,0.011432074218591574,0.08143363893032074,0.22358402609825134,0.25176116824150085,0.209220990839095,0.010388582368126195,0.09266597032546997,0.2099488526582718,0.2413175106048584,0.14781129303634663,0.03094556907597694,0.11528927832841873,0.14229649305343628,0.6742107272148132,0.42092237496927537,0.022326717969821337,0.15168963372707367,0.4212788939476013,0.5365663170814514,1.304747081275848,0.020858578319719077,1.3052570938109433,843,-0.06957566970572636,0.004441928608436763,-0.07900442183017731,-0.07009828090667725,-0.015933938324451447,-0.031979333967288616,0.0020838362797473376,-0.039842233061790466,-0.032182902097702026,-0.004635222256183624,-0.022370947619915576,0.0022143957163454527,-0.040313899517059326,-0.02185538411140442,-0.01904679834842682,0.12392595182322098,0.004371709159334617,0.054281771183013916,0.12426063418388367,0.13500884175300598,0.2586792427886702,0.005548655590470357,0.2591298996451366
FBDB15K_r05,FBDB15K,0.5,Person,2237,0.9003129190880643,0.9199821189092534,0.019669199821189087,65,21,72.1466249441216,2237,0.2725691413660906,0.008888378787163205,0.15241946280002594,0.27378690242767334,0.29832836985588074,0.2860014775154257,0.011112257938435748,0.14419212937355042,0.28797081112861633,0.31755053997039795,0.16646134033366192,0.02513311401096564,0.14629557728767395,0.15945832431316376,0.5569658279418945,0.27496803990554,0.008720673266988612,0.14642252027988434,0.27652114629745483,0.3008529841899872,1.3636185467576682,0.00876556514689548,1.3619482586694092,2237,0.2008656236706539,0.005529167813536811,0.1288386583328247,0.20138990879058838,0.22077281773090363,0.32951643905124867,0.010574307688272479,0.19054411351680756,0.3311071991920471,0.36217132210731506,0.12224037249505547,0.02012382449547437,0.10656523704528809,0.11670894175767899,0.46838048100471497,0.3473775651127726,0.00870168152649083,0.21223676204681396,0.34860244393348694,0.37944886088371277,1.310665114345876,0.013497057971521337,1.307077105605906,2237,-0.07170351769543674,0.0036258344913179972,-0.07802702486515045,-0.0725632905960083,-0.023580804467201233,0.04351496153582299,0.0012322101582576126,0.03870600461959839,0.04334759712219238,0.04843413829803467,-0.044220967838606455,0.0050898479050283055,-0.08858534693717957,-0.042798466980457306,-0.03912019729614258,0.07240952520723262,0.0012143391639617691,0.06581424176692963,0.07235416769981384,0.0790170431137085,0.32648199404963857,0.0032497220244846396,0.32579633221186466
FBDB15K_r05,FBDB15K,0.5,Place,1294,0.6676970633693973,0.6653786707882535,-0.0023183925811437467,64,67,61.523956723338486,1294,0.27641747985179127,0.013669277347786635,0.14296495914459229,0.27651579678058624,0.36618030071258545,0.25282659949346153,0.011608105553480626,0.15207844972610474,0.2541028708219528,0.277572363615036,0.1881547225452096,0.02935924848267974,0.14108245074748993,0.18229298293590546,0.5564758777618408,0.28260119736102485,0.016365562620898444,0.13752277195453644,0.2821871191263199,0.39913123846054077,1.371390310728886,0.011977587405773153,1.3720523788525263,1294,0.1836130077068275,0.009259099485818205,0.09606979042291641,0.1837499737739563,0.2518625855445862,0.22283767610558033,0.010796065489826898,0.13510699570178986,0.2241484746336937,0.24592630565166473,0.1865902679757873,0.02950057560371303,0.13146677613258362,0.18061358481645584,0.5581648945808411,0.40695904973761926,0.021490323630412138,0.20040585100650787,0.40695832669734955,0.5405585765838623,1.3217364947539647,0.016326063419008715,1.323331613800613,1294,-0.09280447214496375,0.0046219979774540345,-0.11431771516799927,-0.09281236678361893,-0.04689516872167587,-0.029988923387881224,0.0014948307545988961,-0.03705121576786041,-0.03003571927547455,-0.01697145402431488,-0.0015644545694222958,0.0010497701495381549,-0.010507777333259583,-0.0013921484351158142,0.003766179084777832,0.12435785237659443,0.00540327946575567,0.06288307905197144,0.12475630640983582,0.14142733812332153,0.2591789208622491,0.006176710326860484,0.25971196599772617
FBDB15K_r08,FBDB15K,0.8,Creative Work,399,0.87468671679198,0.9022556390977443,0.027568922305764354,20,9,88.06766917293233,399,0.31526502675579904,0.021065893498357937,0.22597265243530273,0.3213932514190674,0.34586480259895325,0.19820621729195864,0.020052892120702066,0.18340371549129486,0.19056376814842224,0.26572585105895996,0.16247323954613285,0.026341635927952838,0.14316575229167938,0.1542540341615677,0.3407895267009735,0.3240555162193781,0.02222273329966724,0.23163525760173798,0.33055973052978516,0.3815650939941406,1.3407717083817177,0.015223769069480607,1.3353935116787279,399,0.18835042502945826,0.011319618211040449,0.14524970948696136,0.1911882758140564,0.21019083261489868,0.19763723004581338,0.022021468849464477,0.17827624082565308,0.18915697932243347,0.26923859119415283,0.11355538440303396,0.020418426770554568,0.09697821736335754,0.10744894295930862,0.2555558979511261,0.5004569605030212,0.02919425606702061,0.3832271695137024,0.5099411606788635,0.561484158039093,1.2243807905925066,0.028635083101094357,1.2157449714847886,399,-0.12691460172634078,0.010022822745748101,-0.13645489513874054,-0.13037504255771637,-0.08072294294834137,-0.0005689872461452819,0.0029500964551513256,-0.008939877152442932,-0.0012311339378356934,0.014364674687385559,-0.048917855143098904,0.00598004454551989,-0.08523362874984741,-0.04715584218502045,-0.04341696947813034,0.17640144428364316,0.007227885323415134,0.15159191191196442,0.17924103140830994,0.18207043409347534,0.3098668112693446,0.006516056343747274,0.30843503142108847
FBDB15K_r08,FBDB15K,0.8,Entity,359,0.5793871866295265,0.5682451253481894,-0.011142061281337101,6,10,163.68802228412255,359,0.2968714329982202,0.032147199527367304,0.09625513106584549,0.30051472783088684,0.4241185784339905,0.20601748664731104,0.012068422424452632,0.09625513106584549,0.2069246619939804,0.2575511932373047,0.1900958391451238,0.06472692385964934,0.13886862993240356,0.1717415750026703,0.7112345695495605,0.30701524025467447,0.03652613917222197,0.09625513106584549,0.31042638421058655,0.42740488052368164,1.3508350636536324,0.03581405235066698,1.3532666107481144,359,0.29687143250013126,0.03214719929927021,0.09625513106584549,0.30051472783088684,0.42411860823631287,0.20601748650203508,0.012068423148770257,0.09625513106584549,0.2069246619939804,0.2575511932373047,0.19009584059788323,0.06472692305577567,0.13886861503124237,0.1717415601015091,0.7112345695495605,0.3070152393830188,0.03652613794477525,0.09625513106584549,0.31042638421058655,0.42740488052368164,1.3508350645995613,0.035814051421341225,1.3532666174983559,359,-4.980889535547963e-10,1.5799664601380275e-08,-5.960464477539063e-08,0.0,5.960464477539063e-08,-1.452759447868156e-10,1.159094037838152e-08,-4.470348358154297e-08,0.0,2.9802322387695312e-08,1.4527594478681559e-09,1.0828742272681751e-08,-5.960464477539063e-08,0.0,2.9802322387695312e-08,-8.716556687208935e-10,1.4496608763484155e-08,-5.960464477539063e-08,0.0,5.960464477539063e-08,2.463697161207839e-07,3.7922115663799606e-07,1.1052408446371418e-10
FBDB15K_r08,FBDB15K,0.8,Event,60,0.4666666666666667,0.48333333333333334,0.016666666666666663,1,0,143.25,60,0.2939191813270251,0.015481852965651497,0.2537297308444977,0.29442422091960907,0.32737407088279724,0.22260921746492385,0.011500708810840898,0.20110513269901276,0.22361377626657486,0.2531743049621582,0.16903486351172128,0.0291535887691108,0.1421375721693039,0.1608138307929039,0.2764028310775757,0.3144367312391599,0.025873215231739494,0.25488245487213135,0.3121253103017807,0.38912034034729004,1.3545080311500273,0.01596461806097642,1.3554292150061182,60,0.29068448891242343,0.015239091921550216,0.25088369846343994,0.29139433801174164,0.32370686531066895,0.22015299623211224,0.01148345569203677,0.19883909821510315,0.2211725413799286,0.25061944127082825,0.16728599667549132,0.0290032677108526,0.1403474062681198,0.15912815928459167,0.2740253210067749,0.32187651842832565,0.02628116515842355,0.26134878396987915,0.31954702734947205,0.39736559987068176,1.352225682555544,0.016825734680689666,1.353181180576759,60,-0.0032346924146016438,0.0003852479822981053,-0.0038532614707946777,-0.0032457858324050903,-0.002267986536026001,-0.00245622123281161,0.0002145639729398785,-0.0029608458280563354,-0.002450697124004364,-0.0018984079360961914,-0.00174886683622996,0.00016686832015928824,-0.0023775100708007812,-0.0017171427607536316,-0.0014346539974212646,0.007439787189165751,0.00045783021822274434,0.006466329097747803,0.007360935211181641,0.008371114730834961,0.03644771526907432,0.0017831434018035779,0.03615373472935904
FBDB15K_r08,FBDB15K,0.8,Organization,328,0.6585365853658537,0.7134146341463414,0.05487804878048774,24,6,55.7530487804878,328,0.30138424122933205,0.02107735118541994,0.09625513106584549,0.30471184849739075,0.3694606423377991,0.21732789084951326,0.01566312755849102,0.09625513106584549,0.2190220206975937,0.25916117429733276,0.17028626767782176,0.04382791821544914,0.14019621908664703,0.15981438010931015,0.7112345695495605,0.3110016024921362,0.025334407543140716,0.09625513106584549,0.3102214187383652,0.4141409993171692,1.3513815226410284,0.02779031734038637,1.3532845814418786,328,0.22458584388581718,0.014978541224444773,0.07997111976146698,0.2267550751566887,0.2807295620441437,0.18518304531803217,0.014154937003461108,0.0913877859711647,0.18720683455467224,0.22406749427318573,0.14549628642910137,0.04160141569754826,0.11192312836647034,0.13608760386705399,0.6757375001907349,0.4447348250939352,0.031295173555638774,0.15290357172489166,0.4444262981414795,0.5567602515220642,1.2822086770538554,0.029990786340154108,1.2853696969037673,328,-0.0767983973435149,0.00670587011549317,-0.0887310802936554,-0.07731317728757858,-0.01628401130437851,-0.032144845531481066,0.002673329295174009,-0.04049420356750488,-0.03244645893573761,-0.004867345094680786,-0.02478998124872039,0.0028645646089150156,-0.04394146800041199,-0.0241086408495903,-0.01873481273651123,0.13373322260179898,0.006315334667020049,0.05664844065904617,0.13408946990966797,0.1427459716796875,0.26888791056896444,0.007700951495713867,0.26941900071967023
